Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,ID
Derek Anderson,1998,2008,G,6’5,194,July 18 1974,Ohio State Kentucky,Derek AndersonJuly 18 1974
Derek Grimm,1998,1998,F,6’9,230,"August 3, 1974",Missouri,"Derek GrimmAugust 3, 1974"
Derek Harper,1984,1999,G,6’4,185,"October 13, 1961",Illinois,"Derek HarperOctober 13, 1961"
Derek Hood,2000,2000,F,6’8,222,"December 22, 1976",Arkansas,"Derek HoodDecember 22, 1976"
Derek Smith,1983,1991,G-F,6’6,205,"November 1, 1961",Louisville,"Derek SmithNovember 1, 1961"
Derek Strong,1992,2001,F,6’8,220,"February 9, 1968",Xavier,"Derek StrongFebruary 9, 1968"
DerMarr Johnson,2001,2008,F,6’9,201,"May 5, 1980",Cincinnati,"DerMarr JohnsonMay 5, 1980"
Dermie O'Connell,1949,1950,G,6’0,174,"April 13, 1928",Holy Cross,"Dermie O'ConnellApril 13, 1928"
Deron Williams,2006,2017,G,6’3,200,June 26 1984,Illinois,Deron WilliamsJune 26 1984
Derrek Dickey,1974,1978,F,6’7,218,"March 20, 1951",Cincinnati,"Derrek DickeyMarch 20, 1951"
Derrick Alston,1995,1997,F,6’11,225,"August 20, 1972",Duquesne,"Derrick AlstonAugust 20, 1972"
Derrick Brown,2010,2012,F,6’7,225,"September 8, 1987",Xavier,"Derrick BrownSeptember 8, 1987"
Derrick Byars,2012,2012,F,6’7,220,"April 25, 1984",Virginia Vanderbilt,"Derrick ByarsApril 25, 1984"
Derrick Caracter,2011,2011,F,6’9,275,"May 4, 1988",Louisville Texas-El Paso,"Derrick CaracterMay 4, 1988"
Derrick Chievous,1989,1991,F,6’7,195,July 3 1967,Missouri,Derrick ChievousJuly 3 1967
Derrick Coleman,1991,2005,F-C,6’10,230,June 21 1967,Syracuse,Derrick ColemanJune 21 1967
Derrick Dial,2000,2004,G,6’4,184,"December 20, 1975",Eastern Michigan,"Derrick DialDecember 20, 1975"
Derrick Gervin,1990,1991,F,6’8,200,"March 28, 1963",Texas-San Antonio,"Derrick GervinMarch 28, 1963"
Derrick Jones Jr.,2017,2022,F,6’5,210,"February 15, 1997",UNLV,"Derrick Jones Jr.February 15, 1997"
Derrick McKey,1988,2002,F-C,6’9,205,"October 10, 1966",Alabama,"Derrick McKeyOctober 10, 1966"
Derrick Phelps,1995,1995,G,6’4,181,July 31 1972,UNC,Derrick PhelpsJuly 31 1972
Derrick Rose,2009,2022,G,6’2,200,"October 4, 1988",Memphis,"Derrick RoseOctober 4, 1988"
Derrick Rowland,1986,1986,G,6’5,195,June 21 1959,State University of New York at Potsdam,Derrick RowlandJune 21 1959
Derrick Walton,2018,2022,G,6’0,189,"April 3, 1995",Michigan,"Derrick WaltonApril 3, 1995"
Derrick White,2018,2022,G,6’4,190,July 2 1994,Colorado-Colorado Springs Colorado,Derrick WhiteJuly 2 1994
Derrick Williams,2012,2018,F,6’8,240,"May 25, 1991",Arizona,"Derrick WilliamsMay 25, 1991"
Derrick Zimmerman,2006,2006,G,6’3,195,"December 2, 1981",Mississippi State,"Derrick ZimmermanDecember 2, 1981"
DeSagana Diop,2002,2013,C,7-0,300,"January 30, 1982",,"DeSagana DiopJanuary 30, 1982"
DeShawn Stevenson,2001,2013,G,6’5,210,"April 3, 1981",,"DeShawn StevensonApril 3, 1981"
Desmond Bane,2021,2022,G,6’5,215,June 25 1998,TCU,Desmond BaneJune 25 1998
Desmond Mason,2001,2010,F,6’7,224,"October 11, 1977",Oklahoma State,"Desmond MasonOctober 11, 1977"
Desmond Penigar,2004,2004,F,6’7,245,July 16 1981,Utah State University,Desmond PenigarJuly 16 1981
Detlef Schrempf,1986,2001,F-C,6’10,235,"January 21, 1963",Washington,"Detlef SchrempfJanuary 21, 1963"
DeVaughn Akoon-Purcell,2019,2019,G,6’6,200,June 5 1993,Illinois State,DeVaughn Akoon-PurcellJune 5 1993
Devean George,2000,2010,G-F,6’8,220,"August 29, 1977",Augsburg College,"Devean GeorgeAugust 29, 1977"
Devin Booker,2016,2022,G,6’5,206,"October 30, 1996",Kentucky,"Devin BookerOctober 30, 1996"
Devin Brown,2003,2010,G,6’5,220,"December 30, 1978",Texas-San Antonio,"Devin BrownDecember 30, 1978"
Devin Cannady,2021,2022,G,6’2,183,"May 21, 1996",Princeton,"Devin CannadyMay 21, 1996"
Devin Durrant,1985,1986,F,6’7,200,"October 20, 1960",BYU,"Devin DurrantOctober 20, 1960"
Devin Ebanks,2011,2013,F,6’9,215,"October 28, 1989",West Virginia,"Devin EbanksOctober 28, 1989"
Devin Gray,1997,2000,F,6’7,240,"May 31, 1972",Clemson,"Devin GrayMay 31, 1972"
Devin Green,2006,2006,G,6’7,210,"October 25, 1982",Hampton,"Devin GreenOctober 25, 1982"
Devin Harris,2005,2019,G,6’3,185,"February 27, 1983",Wisconsin,"Devin HarrisFebruary 27, 1983"
Devin Robinson,2018,2019,F,6’8,200,"March 7, 1995",Florida,"Devin RobinsonMarch 7, 1995"
Devin Vassell,2021,2022,G-F,6’5,200,"August 23, 2000",Florida State,"Devin VassellAugust 23, 2000"
Devon Dotson,2021,2022,G,6’2,185,"August 2, 1999",Kansas,"Devon DotsonAugust 2, 1999"
Devon Hall,2020,2020,G,6’2,215,July 7 1995,Virginia,Devon HallJuly 7 1995
Devontae Cacok,2020,2022,F,6’7,240,"October 8, 1996",UNC Wilmington,"Devontae CacokOctober 8, 1996"
Devonte' Graham,2019,2022,G,6’1,195,"February 22, 1995",Kansas,"Devonte' GrahamFebruary 22, 1995"
Devyn Marble,2015,2016,G-F,6’6,200,September 21 1992,Iowa,Devyn MarbleSeptember 21 1992
Dewan Hernandez,2020,2020,F,6’10,235,"December 9, 1996",Miami (FL),"Dewan HernandezDecember 9, 1996"
Dewayne Dedmon,2014,2022,C,7-0,245,"August 12, 1989",USC,"Dewayne DedmonAugust 12, 1989"
DeWayne Scales,1981,1984,F,6’8,208,"December 28, 1958",LSU,"DeWayne ScalesDecember 28, 1958"
Dewitt Menyard,1968,1968,C,6’10,210,"May 24, 1944",Utah,"Dewitt MenyardMay 24, 1944"
Dexter Boney,1997,1997,G,6’4,185,"April 27, 1970",UNLV,"Dexter BoneyApril 27, 1970"
Dexter Cambridge,1993,1993,F,6’7,224,"January 29, 1970",Texas,"Dexter CambridgeJanuary 29, 1970"
Dexter Pittman,2011,2014,C,6’11,308,"March 2, 1988",Texas,"Dexter PittmanMarch 2, 1988"
Dexter Shouse,1990,1990,G,6’2,200,"March 24, 1963",University of South Alabama,"Dexter ShouseMarch 24, 1963"
Dexter Westbrook,1968,1968,F,6’8,190,,Providence,Dexter Westbrook
Deyonta Davis,2017,2019,C-F,6’11,237,"December 2, 1996",Michigan State,"Deyonta DavisDecember 2, 1996"
Diamond Stone,2017,2017,C,6’11,255,"February 10, 1997",Maryland,"Diamond StoneFebruary 10, 1997"
Diante Garrett,2013,2014,G,6’4,190,"November 3, 1988",Iowa State,"Diante GarrettNovember 3, 1988"
Dick Atha,1956,1958,G,6’2,190,September 21 1931,Indiana State University,Dick AthaSeptember 21 1931
Dick Barnett,1960,1974,G-F,6’4,190,"October 2, 1936",Tennessee State,"Dick BarnettOctober 2, 1936"
Dick Bunt,1953,1953,G,6’0,170,July 13 1930,NYU,Dick BuntJuly 13 1930
Dick Cunningham,1969,1975,C,6’10,245,July 11 1946,Murray State,Dick CunninghamJuly 11 1946
Dick Dickey,1952,1952,G,6’1,175,"October 26, 1926",NC State,"Dick DickeyOctober 26, 1926"
Dick Duckett,1958,1958,G,6’1,185,"March 25, 1933",St. John's,"Dick DuckettMarch 25, 1933"
Dick Garmaker,1956,1961,G-F,6’3,200,"October 29, 1932",Minnesota,"Dick GarmakerOctober 29, 1932"
Dick Garrett,1970,1974,G,6’3,185,"January 31, 1947",Southern Illinois,"Dick GarrettJanuary 31, 1947"
Dick Gibbs,1972,1976,F-G,6’5,210,"December 20, 1948",Texas-El Paso,"Dick GibbsDecember 20, 1948"
Dick Groat,1953,1953,G,5’11,180,"November 4, 1930",Duke,"Dick GroatNovember 4, 1930"
Dick Grubar,1970,1970,G,6’4,184,July 26 1947,UNC,Dick GrubarJuly 26 1947
Dick Hemric,1956,1957,F,6’6,220,"August 29, 1933",Wake Forest,"Dick HemricAugust 29, 1933"
Dick Holub,1948,1948,C,6’6,205,"October 29, 1921",Long Island University,"Dick HolubOctober 29, 1921"
Dick Knostman,1954,1954,C,6’6,215,"August 9, 1931",Kansas State,"Dick KnostmanAugust 9, 1931"
Dick Lee,1968,1968,F,6’6,,,Washington,Dick Lee
Dick McGuire,1950,1960,G,6’0,180,"January 25, 1926",St. John's,"Dick McGuire*January 25, 1926"
Dick Mehen,1950,1952,F-C,6’5,195,"May 20, 1922",Tennessee,"Dick MehenMay 20, 1922"
Dick Miller,1981,1981,F,6’6,215,"April 26, 1958",Toledo,"Dick MillerApril 26, 1958"
Dick Murphy,1947,1947,G,6’1,175,"March 10, 1921",Manhattan College,"Dick MurphyMarch 10, 1921"
Dick Nemelka,1971,1971,G,6’0,175,"October 1, 1943",BYU,"Dick NemelkaOctober 1, 1943"
Dick O'Keefe,1948,1951,G-F,6’2,185,"September 29, 1923",Santa Clara,"Dick O'KeefeSeptember 29, 1923"
Dick Ricketts,1956,1958,F-C,6’7,215,"December 4, 1933",Duquesne,"Dick RickettsDecember 4, 1933"
Dick Rosenthal,1955,1957,F-G,6’5,205,"January 20, 1930",Notre Dame,"Dick RosenthalJanuary 20, 1930"
Dick Schnittker,1951,1958,F,6’5,200,"May 27, 1928",Ohio State,"Dick SchnittkerMay 27, 1928"
Dick Schulz,1947,1950,F-G,6’2,192,"January 3, 1917",Wisconsin,"Dick SchulzJanuary 3, 1917"
Dick Shrider,1949,1949,G,6’2,190,"February 7, 1923",Ohio University,"Dick ShriderFebruary 7, 1923"
Dick Snyder,1967,1979,G-F,6’5,207,"February 1, 1944",Davidson,"Dick SnyderFebruary 1, 1944"
Dick Surhoff,1953,1954,F,6’4,210,"November 16, 1929",Long Island University,"Dick SurhoffNovember 16, 1929"
Dick Triptow,1949,1950,G-F,6’0,170,"November 3, 1922",DePaul,"Dick TriptowNovember 3, 1922"
Dick Van Arsdale,1966,1977,G-F,6’5,210,"February 22, 1943",Indiana,"Dick Van ArsdaleFebruary 22, 1943"
Dick Wehr,1949,1949,F,6’4,180,"December 9, 1925",Rice University,"Dick WehrDecember 9, 1925"
Dickey Simpkins,1995,2002,F,6’9,248,"April 6, 1972",Providence,"Dickey SimpkinsApril 6, 1972"
Didi Louzada,2021,2022,G,6’5,188,"February 7, 1999",,"Didi LouzadaFebruary 7, 1999"
Dijon Thompson,2006,2007,G-F,6’7,195,"February 23, 1983",UCLA,"Dijon ThompsonFebruary 23, 1983"
Dike Eddleman,1950,1953,F-G,6’3,189,"December 27, 1922",Illinois,"Dike EddlemanDecember 27, 1922"
Dikembe Mutombo,1992,2009,C,7’2,245,June 25 1966,Georgetown,Dikembe Mutombo*June 25 1966
Dillard Crocker,1949,1953,F-G,6’4,205,"January 19, 1925",Western Michigan,"Dillard CrockerJanuary 19, 1925"
Dillon Brooks,2018,2022,F-G,6’7,225,"January 22, 1996",Oregon,"Dillon BrooksJanuary 22, 1996"
Dino Martin,1947,1948,G,5’8,160,"May 25, 1920",Georgetown,"Dino MartinMay 25, 1920"
Dino Radja,1994,1997,F-C,6’11,225,"April 24, 1967",,"Dino Radja*April 24, 1967"
Dion Glover,2000,2005,G,6’5,228,"October 22, 1978",Georgia Tech,"Dion GloverOctober 22, 1978"
Dion Waiters,2013,2020,G,6’3,215,"December 10, 1991",Syracuse,"Dion WaitersDecember 10, 1991"
Dionte Christmas,2014,2014,G,6’5,205,September 15 1986,Temple,Dionte ChristmasSeptember 15 1986
Dirk Minniefield,1986,1988,G,6’3,180,"January 17, 1961",Kentucky,"Dirk MinniefieldJanuary 17, 1961"
Dirk Nowitzki,1999,2019,F,7-0,245,June 19 1978,,Dirk NowitzkiJune 19 1978
Doc Rivers,1984,1996,G,6’4,185,"October 13, 1961",Marquette,"Doc RiversOctober 13, 1961"
Dolph Schayes,1950,1964,F-C,6’8,220,"May 19, 1928",NYU,"Dolph Schayes*May 19, 1928"
Domantas Sabonis,2017,2022,F-C,6’11,240,"May 3, 1996",Gonzaga,"Domantas SabonisMay 3, 1996"
Dominic McGuire,2008,2013,F,6’9,220,"October 20, 1985",California Fresno State,"Dominic McGuireOctober 20, 1985"
Dominic Pressley,1989,1989,G,6’2,170,"May 30, 1964",Boston College,"Dominic PressleyMay 30, 1964"
Dominique Jones,2011,2013,G,6’4,215,"October 15, 1988",South Florida,"Dominique JonesOctober 15, 1988"
Dominique Wilkins,1983,1999,F-G,6’8,215,"January 12, 1960",Georgia,"Dominique Wilkins*January 12, 1960"
Don Ackerman,1954,1954,G,6’0,183,"September 4, 1930",Long Island University,"Don AckermanSeptember 4, 1930"
Don Adams,1971,1977,F,6’6,210,"November 27, 1947",Northwestern,"Don AdamsNovember 27, 1947"
Don Anielak,1955,1955,F,6’7,190,"November 1, 1930",Missouri State,"Don AnielakNovember 1, 1930"
Don Asmonga,1954,1954,G,6’2,185,"February 15, 1928",Alliance College,"Don AsmongaFebruary 15, 1928"
Don Barksdale,1952,1955,F-C,6’6,200,"March 31, 1923",UCLA,"Don Barksdale*March 31, 1923"
Don Bielke,1956,1956,C,6’7,240,"May 10, 1932",Valparaiso,"Don BielkeMay 10, 1932"
Don Boven,1950,1953,F-G,6’4,210,"March 6, 1925",Western Michigan,"Don BovenMarch 6, 1925"
Don Buse,1973,1985,G,6’4,190,"August 10, 1950",University of Evansville,"Don BuseAugust 10, 1950"
Don Carlos,1969,1969,G-F,6’5,210,"March 3, 1944",Otterbein College,"Don CarlosMarch 3, 1944"
Don Carlson,1947,1951,G-F,6’0,170,"March 22, 1919",Minnesota,"Don CarlsonMarch 22, 1919"
Don Chaney,1969,1980,G,6’5,210,"March 22, 1946",Houston,"Don ChaneyMarch 22, 1946"
Don Collins,1981,1987,F-G,6’6,190,"November 28, 1958",Washington State,"Don CollinsNovember 28, 1958"
Don Dee,1969,1969,F,6’8,210,"August 9, 1943",Saint Mary of the Plains College,"Don DeeAugust 9, 1943"
Don Eliason,1947,1947,F,6’2,210,July 24 1918,Hamline University,Don EliasonJuly 24 1918
Don Grate,1950,1950,F-G,6’2,185,"August 27, 1923",Ohio State,"Don GrateAugust 27, 1923"
Don Hanrahan,1953,1953,F,6’7,200,"February 6, 1929",Loyola Chicago,"Don HanrahanFebruary 6, 1929"
Don Henriksen,1953,1955,F-C,6’7,225,"October 10, 1929",California,"Don HenriksenOctober 10, 1929"
Don Kojis,1964,1975,F,6’5,215,"January 15, 1939",Marquette,"Don KojisJanuary 15, 1939"
Don Lofgran,1951,1954,F-C,6’5,200,"November 8, 1929",San Francisco,"Don LofgranNovember 8, 1929"
Don MacLean,1993,2001,F,6’10,235,"January 16, 1970",UCLA,"Don MacLeanJanuary 16, 1970"
Don Martin,1947,1949,C-F,6’7,210,"February 7, 1920",Central Missouri State University,"Don MartinFebruary 7, 1920"
Don May,1969,1975,F,6’4,200,"January 3, 1946",Dayton,"Don MayJanuary 3, 1946"
Don Nelson,1963,1976,F,6’6,210,"May 15, 1940",Iowa,"Don Nelson*May 15, 1940"
Don Ohl,1961,1970,G,6’3,190,"April 18, 1936",Illinois,"Don OhlApril 18, 1936"
Don Otten,1950,1953,C,6’10,240,"April 18, 1921",Bowling Green,"Don OttenApril 18, 1921"
Don Putman,1947,1950,G,6’1,170,"November 13, 1922",Denver,"Don PutmanNovember 13, 1922"
Don Ray,1950,1950,F-C,6’5,190,July 8 1921,Western Kentucky,Don RayJuly 8 1921
Don Rehfeldt,1951,1952,F,6’7,210,"January 7, 1927",Wisconsin,"Don RehfeldtJanuary 7, 1927"
Don Reid,1996,2003,F,6’8,250,"December 30, 1973",Georgetown,"Don ReidDecember 30, 1973"
Don Savage,1952,1957,F-G,6’3,205,"April 9, 1928",LeMoyne College,"Don SavageApril 9, 1928"
Don Smith,1949,1949,G-F,6’2,190,July 27 1920,Minnesota,Don SmithJuly 27 1920
Don Smith,1975,1975,G,6’0,160,"October 10, 1951",Dayton,"Don SmithOctober 10, 1951"
Don Sunderlage,1954,1955,G,6’1,180,"December 20, 1929",Illinois,"Don SunderlageDecember 20, 1929"
Donald Hodge,1992,1996,C,7-0,230,"February 25, 1969",Temple,"Donald HodgeFebruary 25, 1969"
Donald Royal,1990,1998,F,6’8,210,"May 22, 1966",Notre Dame,"Donald RoyalMay 22, 1966"
Donald Sidle,1969,1972,F-C,6’8,215,June 21 1946,Oklahoma,Donald SidleJune 21 1946
Donald Sloan,2012,2016,G,6’3,205,"January 15, 1988",Texas A&M,"Donald SloanJanuary 15, 1988"
Donald Washington,1975,1976,F,6’8,210,"April 22, 1952",UNC,"Donald WashingtonApril 22, 1952"
Donald Whiteside,1997,1998,G,5’10,160,"April 25, 1969",Northern Illinois,"Donald WhitesideApril 25, 1969"
Donatas Motiej?nas,2013,2019,F-C,7-0,222,September 20 1990,,Donatas Motiej?nasSeptember 20 1990
Donell Taylor,2006,2007,G,6’6,180,July 26 1982,Okaloosa-Walton Community College UAB,Donell TaylorJuly 26 1982
Donnell Harvey,2001,2005,F,6’8,220,"August 26, 1980",Florida,"Donnell HarveyAugust 26, 1980"
Donnie Boyce,1996,1997,G,6’5,196,"September 2, 1973",Colorado,"Donnie BoyceSeptember 2, 1973"
Donnie Butcher,1962,1966,G,6’2,200,"February 8, 1936",Pikeville College,"Donnie ButcherFebruary 8, 1936"
Donny Marshall,1996,2003,F,6’7,230,July 17 1972,UConn,Donny MarshallJuly 17 1972
Donovan Mitchell,2018,2022,G,6’1,215,"September 7, 1996",Louisville,"Donovan MitchellSeptember 7, 1996"
Donta Hall,2020,2021,F,6’9,232,"August 7, 1997",Alabama,"Donta HallAugust 7, 1997"
Donta Smith,2005,2006,G-F,6’7,215,"November 27, 1983",Southeastern Illinois College,"Donta SmithNovember 27, 1983"
Dontae' Jones,1998,1998,F,6’8,220,June 2 1975,Northeast Mississippi Community College Mississippi State,Dontae' JonesJune 2 1975
Donte DiVincenzo,2019,2022,G,6’4,203,"January 31, 1997",Villanova,"Donte DiVincenzoJanuary 31, 1997"
Donte Grantham,2019,2019,F,6’8,215,"March 19, 1995",Clemson,"Donte GranthamMarch 19, 1995"
Donté Greene,2009,2012,F,6’11,226,"February 21, 1988",Syracuse,"Donté GreeneFebruary 21, 1988"
Dontell Jefferson,2009,2009,G,6’5,195,"December 15, 1983",Arkansas,"Dontell JeffersonDecember 15, 1983"
Dontonio Wingfield,1995,1998,F,6’8,256,June 23 1974,Cincinnati,Dontonio WingfieldJune 23 1974
Donyell Marshall,1995,2009,F,6’9,218,"May 18, 1973",UConn,"Donyell MarshallMay 18, 1973"
Dorell Wright,2005,2015,F-G,6’9,205,"December 2, 1985",,"Dorell WrightDecember 2, 1985"
Dorie Murrey,1967,1972,F-C,6’8,215,"September 7, 1943",Detroit Mercy,"Dorie MurreySeptember 7, 1943"
Doron Lamb,2013,2014,G,6’4,210,"November 6, 1991",Kentucky,"Doron LambNovember 6, 1991"
Doug Bolstorff,1958,1958,G,6’4,195,"October 29, 1931",Minnesota,"Doug BolstorffOctober 29, 1931"
Doug Christie,1993,2007,G-F,6’6,200,"May 9, 1970",Pepperdine,"Doug ChristieMay 9, 1970"
Doug Collins,1974,1981,G-F,6’6,180,July 28 1951,Illinois State,Doug CollinsJuly 28 1951
Doug Edwards,1994,1996,F,6’7,220,"January 21, 1971",Florida State,"Doug EdwardsJanuary 21, 1971"
Doug Holcomb,1949,1949,F,6’4,200,"February 9, 1925",Wisconsin,"Doug HolcombFebruary 9, 1925"
Doug Kistler,1962,1962,F,6’9,210,"March 21, 1938",Duke,"Doug KistlerMarch 21, 1938"
Doug Lee,1992,1995,G-F,6’5,200,"October 24, 1964",Texas A&M Purdue,"Doug LeeOctober 24, 1964"
Doug McDermott,2015,2022,F,6’7,225,"January 3, 1992",Creighton,"Doug McDermottJanuary 3, 1992"
Doug Moe,1968,1972,F-G,6’5,215,September 21 1938,UNC,Doug MoeSeptember 21 1938
Doug Overton,1993,2004,G,6’3,190,"August 3, 1969",La Salle,"Doug OvertonAugust 3, 1969"
Doug Roth,1990,1990,C,6’11,255,"August 24, 1967",Tennessee,"Doug RothAugust 24, 1967"
Doug Sims,1969,1969,F,6’7,195,June 29 1943,Kent State University,Doug SimsJune 29 1943
Doug Smith,1992,1996,F,6’10,220,September 17 1969,Missouri,Doug SmithSeptember 17 1969
Doug West,1990,2001,G-F,6’6,200,"May 27, 1967",Villanova,"Doug WestMay 27, 1967"
Doyle Parrack,1947,1947,F-G,6’0,165,"December 6, 1921",Oklahoma State,"Doyle ParrackDecember 6, 1921"
Dragan Bender,2017,2020,F,7-0,225,"November 17, 1997",,"Dragan BenderNovember 17, 1997"
Dragan Tarla?,2001,2001,C,6’10,260,"May 9, 1973",,"Dragan Tarla?May 9, 1973"
Draymond Green,2013,2022,F,6’6,230,"March 4, 1990",Michigan State,"Draymond GreenMarch 4, 1990"
Drew Barry,1998,2000,G,6’5,191,"February 17, 1973",Georgia Tech,"Drew BarryFebruary 17, 1973"
Drew Eubanks,2019,2022,F,6’9,245,"February 1, 1997",Oregon State,"Drew EubanksFebruary 1, 1997"
Drew Gooden,2003,2016,F,6’10,250,"September 24, 1981",Kansas,"Drew GoodenSeptember 24, 1981"
Drew Gordon,2015,2015,F,6’9,245,July 12 1990,UCLA New Mexico,Drew GordonJuly 12 1990
Duane Causwell,1991,2001,C,7-0,240,"May 31, 1968",Temple,"Duane CauswellMay 31, 1968"
Duane Cooper,1993,1994,G,6’1,185,June 25 1969,USC,Duane CooperJune 25 1969
Duane Klueh,1950,1951,G,6’3,175,"January 6, 1926",Indiana State University,"Duane KluehJanuary 6, 1926"
Duane Washington,1988,1993,G,6’4,195,"August 31, 1964",Middle Tennessee,"Duane WashingtonAugust 31, 1964"
Duane Washington Jr.,2022,2022,G,6’3,210,"March 24, 2000",Ohio State,"Duane Washington Jr.March 24, 2000"
Duck Williams,1980,1980,G,6’2,180,"August 2, 1956",Notre Dame,"Duck WilliamsAugust 2, 1956"
Dudley Bradley,1980,1989,G-F,6’6,195,"March 19, 1957",UNC,"Dudley BradleyMarch 19, 1957"
Duje Dukan,2016,2016,F,6’9,220,"December 4, 1991",Wisconsin,"Duje DukanDecember 4, 1991"
Duncan Robinson,2019,2022,G-F,6’7,215,"April 22, 1994",Williams Michigan,"Duncan RobinsonApril 22, 1994"
Dusty Hannahs,2019,2020,G,6’3,210,"September 2, 1993",Texas Tech Arkansas,"Dusty HannahsSeptember 2, 1993"
Dwaine Dillard,1976,1976,F,6’6,230,"March 9, 1949",Eastern Michigan,"Dwaine DillardMarch 9, 1949"
Dwayne Bacon,2018,2021,G,6’6,221,"August 30, 1995",Florida State,"Dwayne BaconAugust 30, 1995"
Dwayne Jones,2006,2010,F-C,6’11,250,June 9 1983,Saint Joseph's,Dwayne JonesJune 9 1983
Dwayne McClain,1986,1986,G,6’6,185,"February 7, 1963",Villanova,"Dwayne McClainFebruary 7, 1963"
Dwayne Morton,1995,1995,F,6’7,195,"August 8, 1971",Louisville,"Dwayne MortonAugust 8, 1971"
Dwayne Polee,1987,1987,G,6’5,180,"March 2, 1963",UNLV Pepperdine,"Dwayne PoleeMarch 2, 1963"
Dwayne Schintzius,1991,1999,C,7’1,260,"October 14, 1968",Florida,"Dwayne SchintziusOctober 14, 1968"
Dwayne Whitfield,1996,1996,F,6’9,240,"August 21, 1972",Jackson State University,"Dwayne WhitfieldAugust 21, 1972"
Dwight Anderson,1983,1983,G,6’3,185,"December 28, 1960",Kentucky USC,"Dwight AndersonDecember 28, 1960"
Dwight Buycks,2014,2018,G,6’3,190,"March 6, 1989",Marquette,"Dwight BuycksMarch 6, 1989"
Dwight Davis,1973,1977,F,6’8,220,"October 28, 1949",Houston,"Dwight DavisOctober 28, 1949"
Dwight Howard,2005,2022,C,6’10,265,"December 8, 1985",,"Dwight HowardDecember 8, 1985"
Dwight Jones,1974,1983,F-C,6’10,210,"February 27, 1952",Houston,"Dwight JonesFebruary 27, 1952"
Dwight Powell,2015,2022,F-C,6’10,240,July 20 1991,Stanford,Dwight PowellJuly 20 1991
Dwight Waller,1969,1972,F,6’6,220,"October 5, 1945",Tennessee State,"Dwight WallerOctober 5, 1945"
Dwyane Wade,2004,2019,G,6’4,220,"January 17, 1982",Marquette,"Dwyane WadeJanuary 17, 1982"
Dylan Windler,2021,2022,G-F,6’6,196,September 22 1996,Belmont,Dylan WindlerSeptember 22 1996
Dyron Nix,1990,1990,F,6’7,210,"February 11, 1967",Tennessee,"Dyron NixFebruary 11, 1967"
Džanan Musa,2019,2020,G-F,6’9,217,"May 8, 1999",,"Džanan MusaMay 8, 1999"
E.C. Coleman,1974,1979,F,6’8,225,"September 25, 1950",Houston Baptist University,"E.C. ColemanSeptember 25, 1950"
Earl Barron,2006,2015,C,7-0,250,"August 14, 1981",Memphis,"Earl BarronAugust 14, 1981"
Earl Boykins,1999,2012,G,5’5,135,June 2 1976,Eastern Michigan,Earl BoykinsJune 2 1976
Earl Clark,2010,2015,F,6’10,225,"January 17, 1988",Louisville,"Earl ClarkJanuary 17, 1988"
Earl Cureton,1981,1997,F-C,6’9,210,"September 3, 1957",Robert Morris University (PA) Detroit Mercy,"Earl CuretonSeptember 3, 1957"
Earl Dodd,1950,1950,F,6’5,175,"November 1, 1924",Truman State University,"Earl DoddNovember 1, 1924"
Earl Evans,1980,1980,F,6’8,202,"November 11, 1955",USC UNLV,"Earl EvansNovember 11, 1955"
Earl Gardner,1949,1949,F,6’3,195,September 18 1923,DePauw University,Earl GardnerSeptember 18 1923
Earl Jones,1985,1986,C,7-0,210,"January 13, 1961",University of the District of Columbia,"Earl JonesJanuary 13, 1961"
Earl Lloyd,1951,1960,F-C,6’5,200,"April 3, 1928",West Virginia State University,"Earl Lloyd*April 3, 1928"
Earl Monroe,1968,1980,G,6’3,185,"November 21, 1944",Winston-Salem State,"Earl Monroe*November 21, 1944"
Earl Shannon,1947,1949,G-F,5’11,170,"November 23, 1921",Rhode Island,"Earl ShannonNovember 23, 1921"
Earl Tatum,1977,1980,G-F,6’5,185,July 26 1953,Marquette,Earl TatumJuly 26 1953
Earl Watson,2002,2014,G,6’1,195,June 12 1979,UCLA,Earl WatsonJune 12 1979
Earl Williams,1975,1979,C-F,6’7,230,"March 24, 1951",Winston-Salem State,"Earl WilliamsMarch 24, 1951"
Earle Higgins,1971,1971,F,6’8,195,"December 30, 1946",Eastern Michigan,"Earle HigginsDecember 30, 1946"
Earnie Killum,1971,1971,G,6’3,180,June 11 1948,Stetson University,Earnie KillumJune 11 1948
Easy Parham,1949,1951,F-G,6’3,200,"December 27, 1921",Texas Wesleyan University,"Easy ParhamDecember 27, 1921"
Ed Bartels,1950,1951,F,6’5,195,"October 8, 1925",NC State,"Ed BartelsOctober 8, 1925"
Ed Beach,1951,1951,F,6’3,200,"January 25, 1929",West Virginia,"Ed BeachJanuary 25, 1929"
Ed Biedenbach,1969,1969,G,6’1,175,"August 12, 1945",NC State,"Ed BiedenbachAugust 12, 1945"
Ed Burton,1962,1965,F,6’6,225,"August 13, 1939",Michigan State,"Ed BurtonAugust 13, 1939"
Ed Conlin,1956,1962,F-G,6’5,200,"September 2, 1933",Fordham,"Ed ConlinSeptember 2, 1933"
Ed Dahler,1952,1952,F,6’5,190,"January 31, 1926",Duquesne,"Ed DahlerJanuary 31, 1926"
Ed Davis,2011,2022,F,6’9,218,June 5 1989,UNC,Ed DavisJune 5 1989
Ed Earle,1954,1954,F,6’3,190,"April 28, 1927",Loyola Chicago,"Ed EarleApril 28, 1927"
